model_family,k,mean_cosine_silhouette,median_cosine_silhouette,best_fit_cosine_silhouette,worst_fit_cosine_silhouette,mean_cosine_loss,best_cosine_loss,best_seed,best_solution_silhouette,best_solution_minimum_cluster_size,best_solution_maximum_cluster_size,best_solution_size_ratio,best_solution_size_cv,median_pairwise_ari,mean_pairwise_ari,minimum_pairwise_ari,maximum_pairwise_ari,all_seeds_converged,nonpathological_minimum_size,within_silhouette_tie_band,stable_reference_ari,selected_primary_k,n_initializations,n_pairwise_ari
GPT-5.6 Terra,9,0.3550440397830253,0.3704584387498846,0.3962054559607764,0.2302637146488356,12.913871216773988,12.53037565946579,4,0.3774811282523133,12,87,7.25,0.6682813778641449,0.7931887173408129,0.7824332863163068,0.5300131626948267,0.9757320631848614,True,True,False,False,False,30,435
GPT-5.6 Terra,10,0.3380037601650255,0.3577131552378967,0.3924816372958797,0.2269949271536024,12.509170065323511,12.23731118440628,25,0.3756749019486305,8,92,11.5,0.7681145747868608,0.7635231144529441,0.7552926809067824,0.5371809794549174,0.9698432329734712,True,True,False,False,False,30,435
Claude Sonnet,2,0.3558324411105159,0.3558324411105158,0.3558324411105158,0.3558324411105158,13.093234300613403,13.093234300613403,0,0.3558324411105158,100,200,2.0,0.3333333333333333,1.0,1.0,1.0,1.0,True,True,True,True,True,30,435
Claude Sonnet,3,0.2915177042817992,0.3052215571184079,0.3546515979307768,0.2518899348848686,11.777378392219545,11.695614695549011,0,0.3052215571184079,100,100,1.0,0.0,0.6394980133578749,0.6789016346860836,0.1926604952228005,1.0,True,True,False,False,False,30,435
Claude Sonnet,4,0.2961255017102708,0.2982197317048798,0.3094990831451389,0.2435159261983567,10.6102641304334,10.32669162750244,11,0.3094990831451389,46,100,2.1739130434782608,0.3354598833442433,0.7730943420706266,0.7510442341618082,0.2790427638709014,1.0,True,True,False,False,False,30,435
Claude Sonnet,5,0.302582201299704,0.3129560751302728,0.3157305023101247,0.1882365634983013,9.764389737447102,9.595983505249023,7,0.3098383521026718,39,83,2.128205128205128,0.2911662373589661,0.9632325300257936,0.9022079452885804,0.5487991994508394,1.0,True,True,False,True,False,30,435
Claude Sonnet,6,0.2765882899344219,0.2876808873724136,0.3117942871433145,0.1897826902215084,9.401982535918554,9.254934847354887,9,0.3002181884646145,25,75,3.0,0.3286335345030997,0.8027018471836953,0.7983343207278782,0.5234413181874968,0.992467373505136,True,True,False,False,False,30,435
Claude Sonnet,7,0.2513341334189132,0.2555678918113845,0.2929614276755312,0.171376640534786,9.16370216012001,8.958750426769257,10,0.2687548435408579,15,77,5.133333333333334,0.4600241539552268,0.7527865782440575,0.7402509295147127,0.4699491756850343,0.9921020213606424,True,True,False,False,False,30,435
Claude Sonnet,8,0.2312340108553844,0.2357538318967666,0.2751746601262709,0.1676994385731691,8.889208606878917,8.779241263866425,12,0.2751746601262709,19,75,3.947368421052632,0.5429139485733956,0.7003706514308651,0.7024275787835477,0.4923372117798437,0.9254673563334308,True,True,False,False,False,30,435
Claude Sonnet,9,0.2029441734176527,0.2040613744053202,0.2583779794355868,0.1496918652774915,8.694292000929515,8.554659366607666,16,0.2583779794355868,9,73,8.11111111111111,0.6232174580353153,0.6507560036423721,0.6585706910409065,0.4799690045502777,0.8787928027872527,True,True,False,False,False,30,435
Claude Sonnet,10,0.1880676717628045,0.1880286818488999,0.2503685362869359,0.1389232773682885,8.53554211060206,8.397917687892914,3,0.1659088816773951,14,53,3.7857142857142856,0.3483293460696835,0.6283193147742946,0.6344326465900954,0.4495724005394328,0.8659643358783413,True,True,False,False,False,30,435
