final_row_index_0_based,interval_id,model_family,run_version,interval_number,start_round,end_round,family_row_index_0_based,cluster,cosine_similarity_to_assigned_centroid,cosine_distance_to_assigned_centroid
162,DeepSeek-V3__V2__I063,DeepSeek-V3,V2,63,621,630,162,3,0.8762714079820813,0.1237285920179187
163,DeepSeek-V3__V2__I064,DeepSeek-V3,V2,64,631,640,163,3,0.9234073873647692,0.0765926126352308
164,DeepSeek-V3__V2__I065,DeepSeek-V3,V2,65,641,650,164,3,0.9107333486052536,0.0892666513947463
165,DeepSeek-V3__V2__I066,DeepSeek-V3,V2,66,651,660,165,3,0.9107424086519516,0.0892575913480483
166,DeepSeek-V3__V2__I067,DeepSeek-V3,V2,67,661,670,166,3,0.9299394362980914,0.0700605637019086
167,DeepSeek-V3__V2__I068,DeepSeek-V3,V2,68,671,680,167,3,0.923257945325352,0.0767420546746481
168,DeepSeek-V3__V2__I069,DeepSeek-V3,V2,69,681,690,168,3,0.936079622451358,0.0639203775486421
169,DeepSeek-V3__V2__I070,DeepSeek-V3,V2,70,691,700,169,3,0.934009169469008,0.0659908305309919
170,DeepSeek-V3__V2__I071,DeepSeek-V3,V2,71,701,710,170,3,0.9282852740795496,0.0717147259204504
171,DeepSeek-V3__V2__I072,DeepSeek-V3,V2,72,711,720,171,3,0.9422007885657652,0.0577992114342349
172,DeepSeek-V3__V2__I073,DeepSeek-V3,V2,73,721,730,172,3,0.9345629024935728,0.0654370975064271
173,DeepSeek-V3__V2__I074,DeepSeek-V3,V2,74,731,740,173,3,0.9583770228082976,0.0416229771917022
174,DeepSeek-V3__V2__I075,DeepSeek-V3,V2,75,741,750,174,3,0.9308833810297626,0.0691166189702373
175,DeepSeek-V3__V2__I076,DeepSeek-V3,V2,76,751,760,175,3,0.9397887717267202,0.0602112282732798
176,DeepSeek-V3__V2__I077,DeepSeek-V3,V2,77,761,770,176,3,0.9395981842303788,0.0604018157696213
177,DeepSeek-V3__V2__I078,DeepSeek-V3,V2,78,771,780,177,3,0.9426962714987128,0.0573037285012871
178,DeepSeek-V3__V2__I079,DeepSeek-V3,V2,79,781,790,178,3,0.956331068472099,0.0436689315279009
179,DeepSeek-V3__V2__I080,DeepSeek-V3,V2,80,791,800,179,3,0.95320206243,0.0467979375699999
180,DeepSeek-V3__V2__I081,DeepSeek-V3,V2,81,801,810,180,3,0.9445379326434028,0.0554620673565973
181,DeepSeek-V3__V2__I082,DeepSeek-V3,V2,82,811,820,181,3,0.9484224906392632,0.0515775093607366
182,DeepSeek-V3__V2__I083,DeepSeek-V3,V2,83,821,830,182,3,0.9480952601891836,0.0519047398108163
183,DeepSeek-V3__V2__I084,DeepSeek-V3,V2,84,831,840,183,3,0.9054078064065264,0.0945921935934736
184,DeepSeek-V3__V2__I085,DeepSeek-V3,V2,85,841,850,184,3,0.9021418532444568,0.0978581467555432
185,DeepSeek-V3__V2__I086,DeepSeek-V3,V2,86,851,860,185,3,0.9278062197950148,0.0721937802049851
186,DeepSeek-V3__V2__I087,DeepSeek-V3,V2,87,861,870,186,3,0.9011580227964208,0.0988419772035791
187,DeepSeek-V3__V2__I088,DeepSeek-V3,V2,88,871,880,187,3,0.9352075358960747,0.0647924641039251
188,DeepSeek-V3__V2__I089,DeepSeek-V3,V2,89,881,890,188,3,0.9246923886513964,0.0753076113486036
189,DeepSeek-V3__V2__I090,DeepSeek-V3,V2,90,891,900,189,3,0.9490482814552522,0.0509517185447477
190,DeepSeek-V3__V2__I091,DeepSeek-V3,V2,91,901,910,190,3,0.9284932154724608,0.0715067845275391
191,DeepSeek-V3__V2__I092,DeepSeek-V3,V2,92,911,920,191,3,0.9398484915902364,0.0601515084097636
192,DeepSeek-V3__V2__I093,DeepSeek-V3,V2,93,921,930,192,3,0.9292785836403524,0.0707214163596476
193,DeepSeek-V3__V2__I094,DeepSeek-V3,V2,94,931,940,193,3,0.9477526905540674,0.0522473094459325
194,DeepSeek-V3__V2__I095,DeepSeek-V3,V2,95,941,950,194,3,0.9462272848740652,0.0537727151259347
195,DeepSeek-V3__V2__I096,DeepSeek-V3,V2,96,951,960,195,3,0.9285200111829144,0.0714799888170856
196,DeepSeek-V3__V2__I097,DeepSeek-V3,V2,97,961,970,196,3,0.9153243490431112,0.0846756509568888
197,DeepSeek-V3__V2__I098,DeepSeek-V3,V2,98,971,980,197,3,0.915564951012286,0.0844350489877139
198,DeepSeek-V3__V2__I099,DeepSeek-V3,V2,99,981,990,198,1,0.9235226408942036,0.0764773591057964
199,DeepSeek-V3__V2__I100,DeepSeek-V3,V2,100,991,1000,199,3,0.9129270099751204,0.0870729900248796
200,DeepSeek-V3__V3__I001,DeepSeek-V3,V3,1,1,10,200,2,0.8687797169526653,0.1312202830473346
201,DeepSeek-V3__V3__I002,DeepSeek-V3,V3,2,11,20,201,2,0.8603513693200473,0.1396486306799527
202,DeepSeek-V3__V3__I003,DeepSeek-V3,V3,3,21,30,202,2,0.8946794127155203,0.1053205872844796
203,DeepSeek-V3__V3__I004,DeepSeek-V3,V3,4,31,40,203,2,0.8561541725694157,0.1438458274305842
204,DeepSeek-V3__V3__I005,DeepSeek-V3,V3,5,41,50,204,1,0.9050283555403148,0.0949716444596853
205,DeepSeek-V3__V3__I006,DeepSeek-V3,V3,6,51,60,205,1,0.8801854310517664,0.1198145689482336
206,DeepSeek-V3__V3__I007,DeepSeek-V3,V3,7,61,70,206,2,0.8550082983053487,0.1449917016946512
207,DeepSeek-V3__V3__I008,DeepSeek-V3,V3,8,71,80,207,2,0.8838771903046374,0.1161228096953626
208,DeepSeek-V3__V3__I009,DeepSeek-V3,V3,9,81,90,208,2,0.924687358149472,0.0753126418505278
209,DeepSeek-V3__V3__I010,DeepSeek-V3,V3,10,91,100,209,2,0.8791563708229293,0.1208436291770707
210,DeepSeek-V3__V3__I011,DeepSeek-V3,V3,11,101,110,210,2,0.8745842739047189,0.125415726095281
211,DeepSeek-V3__V3__I012,DeepSeek-V3,V3,12,111,120,211,2,0.9058515022000344,0.0941484977999655
212,DeepSeek-V3__V3__I013,DeepSeek-V3,V3,13,121,130,212,2,0.9183032382276916,0.0816967617723083
213,DeepSeek-V3__V3__I014,DeepSeek-V3,V3,14,131,140,213,2,0.9279084472899968,0.0720915527100031
214,DeepSeek-V3__V3__I015,DeepSeek-V3,V3,15,141,150,214,1,0.8258412970459028,0.1741587029540972
215,DeepSeek-V3__V3__I016,DeepSeek-V3,V3,16,151,160,215,1,0.9505291085355908,0.0494708914644093
216,DeepSeek-V3__V3__I017,DeepSeek-V3,V3,17,161,170,216,1,0.9527294379034008,0.0472705620965993
217,DeepSeek-V3__V3__I018,DeepSeek-V3,V3,18,171,180,217,1,0.9559526271720068,0.0440473728279933
218,DeepSeek-V3__V3__I019,DeepSeek-V3,V3,19,181,190,218,1,0.9092918425955115,0.0907081574044883
219,DeepSeek-V3__V3__I020,DeepSeek-V3,V3,20,191,200,219,1,0.9053246490654524,0.0946753509345476
220,DeepSeek-V3__V3__I021,DeepSeek-V3,V3,21,201,210,220,1,0.9389994306150458,0.0610005693849542
221,DeepSeek-V3__V3__I022,DeepSeek-V3,V3,22,211,220,221,1,0.9368911695706424,0.0631088304293575
222,DeepSeek-V3__V3__I023,DeepSeek-V3,V3,23,221,230,222,1,0.9528826221036216,0.0471173778963784
223,DeepSeek-V3__V3__I024,DeepSeek-V3,V3,24,231,240,223,1,0.9266740346919397,0.0733259653080603
224,DeepSeek-V3__V3__I025,DeepSeek-V3,V3,25,241,250,224,1,0.943205877440566,0.056794122559434
225,DeepSeek-V3__V3__I026,DeepSeek-V3,V3,26,251,260,225,1,0.9134953202250256,0.0865046797749743
226,DeepSeek-V3__V3__I027,DeepSeek-V3,V3,27,261,270,226,1,0.9360400787816208,0.0639599212183793
227,DeepSeek-V3__V3__I028,DeepSeek-V3,V3,28,271,280,227,1,0.9517515706109856,0.0482484293890143
228,DeepSeek-V3__V3__I029,DeepSeek-V3,V3,29,281,290,228,1,0.9491012627197668,0.050898737280233
229,DeepSeek-V3__V3__I030,DeepSeek-V3,V3,30,291,300,229,1,0.9451537028803894,0.0548462971196106
230,DeepSeek-V3__V3__I031,DeepSeek-V3,V3,31,301,310,230,1,0.945811070018065,0.054188929981935
231,DeepSeek-V3__V3__I032,DeepSeek-V3,V3,32,311,320,231,1,0.9514662507208684,0.0485337492791315
